seq id	alignment start	alignment end	envelope start	envelope end	hmm acc	hmm name	type	hmm start	hmm end	hmm length	bit score	E-value	significance	clan
LAMB2	1143	1183	1143	1193	PF00053.27	Laminin_EGF	Domain	1	41	49.0	31.7	1.4e-07	1	CL0001
KRT83	39	107	2	107	PF16208.8	Keratin_2_head	Family	95	161	161.0	50.6	2.4e-13	1	No_clan
KRT83	110	421	110	421	PF00038.24	Filament	Coiled-coil	1	312	312.0	328.3	6.7e-98	1	No_clan
LDHAL6B	71	209	70	209	PF00056.26	Ldh_1_N	Domain	2	141	141.0	155.7	8.1e-46	1	CL0063
LDHAL6B	213	378	212	380	PF02866.21	Ldh_1_C	Domain	2	162	167.0	85.4	4.7e-24	1	CL0341
LDHD	66	202	66	203	PF01565.26	FAD_binding_4	Domain	1	138	139.0	129.8	6e-38	1	CL0077
LDHD	266	506	265	506	PF02913.22	FAD-oxidase_C	Domain	2	250	250.0	227.7	1.8e-67	1	CL0277
PKM	43	394	42	395	PF00224.24	PK	Domain	2	347	348.0	572.2	3.4e-172	1	CL0151
PKM	410	528	410	528	PF02887.19	PK_C	Domain	1	116	116.0	114.6	3.1e-33	1	No_clan
LRRC4C	90	205	76	216	PF13306.9	LRR_5	Repeat	2	110	128.0	53.4	2.7e-14	1	CL0022
LRRC4C	245	302	244	302	PF13855.9	LRR_8	Repeat	3	60	61.0	34.2	1.8e-08	1	CL0022
LRRC4C	354	443	354	443	PF07679.19	I-set	Domain	1	90	90.0	53.4	2.2e-14	1	CL0011
KRTAP21-2	1	78	1	83	PF11759.11	KRTAP	Family	1	65	65.0	32.6	9.4e-08	1	No_clan
LINGO3	57	114	54	114	PF13855.9	LRR_8	Repeat	4	61	61.0	51.2	8.3e-14	1	CL0022
LINGO3	151	207	150	207	PF13855.9	LRR_8	Repeat	2	58	61.0	32.2	7.1e-08	1	CL0022
LINGO3	247	303	246	306	PF13855.9	LRR_8	Repeat	2	58	61.0	46.5	2.5e-12	1	CL0022
LINGO3	412	497	407	497	PF07679.19	I-set	Domain	5	90	90.0	61.6	6e-17	1	CL0011
LIMS1	10	65	10	67	PF00412.25	LIM	Domain	1	56	58.0	53.7	2e-14	1	CL0167
LIMS1	71	125	71	126	PF00412.25	LIM	Domain	1	57	58.0	48.4	8.7e-13	1	CL0167
LIMS1	135	186	135	188	PF00412.25	LIM	Domain	1	55	58.0	42.3	7.3e-11	1	CL0167
LIMS1	193	247	193	248	PF00412.25	LIM	Domain	1	57	58.0	54.1	1.4e-14	1	CL0167
LIMS1	252	306	252	308	PF00412.25	LIM	Domain	1	56	58.0	40.4	2.7e-10	1	CL0167
LIMA1	390	445	390	446	PF00412.25	LIM	Domain	1	57	58.0	44.5	1.5e-11	1	CL0167
LPCAT4	108	231	108	232	PF01553.24	Acyltransferase	Family	1	134	135.0	54.6	9e-15	1	CL0228
SELE	30	139	29	140	PF00059.24	Lectin_C	Domain	2	108	109.0	89.0	3.3e-25	1	CL0056
SELE	143	171	143	173	PF00008.30	EGF	Domain	1	30	32.0	27.1	4.2e-06	1	CL0001
SELE	180	237	180	237	PF00084.23	Sushi	Domain	1	56	56.0	38.8	1.1e-09	1	CL0001
SELE	242	299	242	299	PF00084.23	Sushi	Domain	1	56	56.0	35.9	8.2e-09	1	CL0001
SELE	304	362	304	362	PF00084.23	Sushi	Domain	1	56	56.0	42.1	1e-10	1	CL0001
SELE	367	425	367	425	PF00084.23	Sushi	Domain	1	56	56.0	39.3	7.1e-10	1	CL0001
SELE	430	488	430	488	PF00084.23	Sushi	Domain	1	56	56.0	38.3	1.5e-09	1	CL0001
SELE	503	547	493	547	PF00084.23	Sushi	Domain	11	56	56.0	26.4	7.9e-06	1	CL0001
LURAP1L	79	192	77	193	PF14854.9	LURAP	Family	3	117	118.0	177.7	6.899999999999999e-53	1	No_clan
MAGOH	5	146	5	146	PF02792.17	Mago_nashi	Family	1	142	142.0	258.3	1.7e-77	1	No_clan
MFSD13A	23	215	19	228	PF13347.9	MFS_2	Family	10	194	427.0	35.2	5.5e-09	1	CL0015
MFSD13A	247	491	243	493	PF13347.9	MFS_2	Family	207	425	427.0	42.0	4.9e-11	1	CL0015
MEX3A	134	194	132	195	PF00013.32	KH_1	Domain	2	65	66.0	37.7	1.5e-09	1	CL0007
MEX3A	225	285	225	286	PF00013.32	KH_1	Domain	1	65	66.0	52.9	2.6e-14	1	CL0007
MEX3A	467	510	465	515	PF13920.9	zf-C3HC4_3	Domain	3	45	50.0	40.2	2.5e-10	1	CL0229
MIER2	197	245	197	247	PF01448.27	ELM2	Family	1	51	53.0	36.6	6.5e-09	1	No_clan
MEMO1	9	292	9	293	PF01875.20	Memo	Family	1	270	271.0	270.2	1.7e-80	1	CL0283
MFSD3	11	349	8	357	PF07690.19	MFS_1	Family	4	328	353.0	35.5	5.5e-09	1	CL0015
MGAM2	43	87	43	87	PF00088.21	Trefoil	Domain	1	43	43.0	31.7	1.1e-07	1	CL0630
MGAM2	104	215	104	215	PF16863.8	NtCtMGAM_N	Domain	1	114	114.0	106.6	8.7e-31	1	CL0103
MGAM2	216	284	215	284	PF13802.9	Gal_mutarotas_2	Domain	2	67	68.0	27.5	3.2e-06	1	CL0103
MGAM2	304	769	304	770	PF01055.29	Glyco_hydro_31	Family	1	443	444.0	479.8	1e-143	1	CL0058
MGAM2	908	948	907	949	PF00088.21	Trefoil	Domain	4	42	43.0	35.8	5.6e-09	1	CL0630
MGAM2	983	1084	965	1084	PF16863.8	NtCtMGAM_N	Domain	12	114	114.0	95.7	2.1e-27	1	CL0103
MGAM2	1085	1150	1084	1151	PF13802.9	Gal_mutarotas_2	Domain	2	66	68.0	28.2	1.9e-06	1	CL0103
MGAM2	1171	1671	1171	1671	PF01055.29	Glyco_hydro_31	Family	1	444	444.0	503.6	6.399999999999999e-151	1	CL0058
METTL8	200	286	200	290	PF13649.9	Methyltransf_25	Domain	1	80	97.0	32.2	1.4e-07	1	CL0063
MED17	139	437	125	453	PF10156.12	Med17	Family	176	443	461.0	36.6	2.4e-09	1	No_clan
MPDZ	6	63	6	63	PF09045.13	L27_2	Domain	1	58	58.0	115.8	6.5e-34	1	CL0614
MPDZ	142	220	137	221	PF00595.27	PDZ	Domain	6	81	82.0	55.4	6.2e-15	1	CL0466
MPDZ	263	333	257	334	PF00595.27	PDZ	Domain	8	81	82.0	47.9	1.4e-12	1	CL0466
MPDZ	378	459	376	460	PF00595.27	PDZ	Domain	2	81	82.0	55.1	7.9e-15	1	CL0466
MPDZ	561	628	554	630	PF00595.27	PDZ	Domain	8	79	82.0	25.1	1.8e-05	1	CL0466
MPDZ	701	783	700	784	PF00595.27	PDZ	Domain	2	81	82.0	50.7	1.9e-13	1	CL0466
MPDZ	1009	1076	1008	1080	PF00595.27	PDZ	Domain	2	72	82.0	41.8	1.1e-10	1	CL0466
MPDZ	1158	1235	1151	1240	PF00595.27	PDZ	Domain	8	77	82.0	55.9	4.3e-15	1	CL0466
MPDZ	1351	1427	1350	1429	PF00595.27	PDZ	Domain	2	79	82.0	40.5	3e-10	1	CL0466
MPDZ	1486	1560	1482	1561	PF00595.27	PDZ	Domain	4	81	82.0	41.0	2e-10	1	CL0466
MPDZ	1562	1626	1562	1626	PF16667.8	MPDZ_u10	Disordered	1	65	65.0	107.4	5.3e-31	1	No_clan
MPDZ	1630	1708	1627	1709	PF00595.27	PDZ	Domain	2	81	82.0	55.0	8.7e-15	1	CL0466
MPDZ	1726	1803	1725	1804	PF00595.27	PDZ	Domain	2	81	82.0	62.2	4.9e-17	1	CL0466
MPDZ	1863	1944	1862	1945	PF00595.27	PDZ	Domain	2	81	82.0	55.7	5.1e-15	1	CL0466
MPDZ	1988	2068	1987	2069	PF00595.27	PDZ	Domain	2	81	82.0	70.2	1.6e-19	1	CL0466
MYLPF	29	55	29	58	PF13405.9	EF-hand_6	Domain	1	27	31.0	23.5	3.3e-05	1	CL0220
MVD	111	166	111	166	PF00288.29	GHMP_kinases_N	Family	1	66	66.0	25.6	1.1e-05	1	CL0329
MVD	197	382	197	382	PF18376.4	MDD_C	Domain	1	187	187.0	255.7	2.6e-76	1	CL0677
PGGHG	288	491	281	495	PF03632.18	Glyco_hydro_65m	Repeat	24	246	387.0	154.5	3.9e-45	1	CL0059
PDZD11	48	124	47	125	PF00595.27	PDZ	Domain	2	81	82.0	64.2	1.1e-17	1	CL0466
PFKM	18	323	17	324	PF00365.23	PFK	Domain	2	285	286.0	362.0	2.3e-108	1	CL0240
PFKM	403	686	402	687	PF00365.23	PFK	Domain	2	285	286.0	302.4	3.1999999999999996e-90	1	CL0240
PDZK1IP1	1	114	1	114	PF15807.8	MAP17	Family	1	122	122.0	134.6	1.8999999999999998e-39	1	No_clan
PDZK1P1	19	87	15	90	PF00595.27	PDZ	Domain	8	79	82.0	45.9	5.9e-12	1	CL0466
PDZK1P1	123	202	120	203	PF00595.27	PDZ	Domain	3	81	82.0	51.2	1.3e-13	1	CL0466
PDZK1P1	285	338	285	339	PF17820.4	PDZ_6	Domain	1	53	54.0	49.8	2.5e-13	1	CL0466
PDLIM1	5	81	3	82	PF00595.27	PDZ	Domain	3	81	82.0	70.6	1.2e-19	1	CL0466
PDLIM1	138	233	138	236	PF15936.8	DUF4749	Family	1	93	98.0	97.9	5.9e-28	1	No_clan
PDLIM1	260	310	260	314	PF00412.25	LIM	Domain	1	53	58.0	39.5	5.3e-10	1	CL0167
PDZD2	339	415	334	416	PF00595.27	PDZ	Domain	6	81	82.0	52.1	7e-14	1	CL0466
PDZD2	590	662	587	671	PF00595.27	PDZ	Domain	5	75	82.0	51.1	1.4e-13	1	CL0466
PDZD2	752	810	728	811	PF00595.27	PDZ	Domain	25	81	82.0	29.1	1.1e-06	1	CL0466
PDZD2	2625	2693	2623	2697	PF00595.27	PDZ	Domain	4	72	82.0	33.5	4.5e-08	1	CL0466
PDZD2	2755	2833	2751	2833	PF00595.27	PDZ	Domain	6	82	82.0	53.8	2e-14	1	CL0466
PER1	373	457	371	459	PF08447.15	PAS_3	Domain	4	87	89.0	42.3	7.4e-11	1	CL0183
PER1	1032	1202	1032	1202	PF12114.11	Period_C	Family	1	171	171.0	232.6	2.7e-69	1	No_clan
PDZD4	129	223	30	246	PF02163.25	Peptidase_M50	Family	123	187	328.0	28.8	7.9e-07	1	CL0126
PDZD4	131	211	130	212	PF00595.27	PDZ	Domain	2	81	82.0	51.1	1.4e-13	1	CL0466
PFKP	27	331	26	333	PF00365.23	PFK	Domain	2	284	286.0	365.5	2e-109	1	CL0240
PFKP	413	697	412	697	PF00365.23	PFK	Domain	2	286	286.0	307.4	9.999999999999999e-92	1	CL0240
PDLIM2	9	79	3	81	PF00595.27	PDZ	Domain	8	80	82.0	55.3	6.8e-15	1	CL0466
PDLIM2	208	254	194	259	PF15936.8	DUF4749	Family	42	88	98.0	41.4	2.6e-10	1	No_clan
PDLIM2	286	338	286	342	PF00412.25	LIM	Domain	1	54	58.0	35.8	7.7e-09	1	CL0167
PDLIM3	8	80	3	81	PF00595.27	PDZ	Domain	7	81	82.0	58.2	8.7e-16	1	CL0466
PDLIM3	184	263	184	272	PF15936.8	DUF4749	Family	1	86	98.0	88.0	7.5e-25	1	No_clan
PDLIM3	294	344	294	349	PF00412.25	LIM	Domain	1	53	58.0	49.4	4.2e-13	1	CL0167
PGK1	10	406	9	406	PF00162.22	PGK	Domain	2	382	382.0	502.4	8.2e-151	1	No_clan
PDLIM4	9	80	4	81	PF00595.27	PDZ	Domain	8	81	82.0	59.2	4.1e-16	1	CL0466
PDLIM4	149	224	147	228	PF15936.8	DUF4749	Family	17	89	98.0	41.5	2.3e-10	1	No_clan
PDLIM4	255	305	255	309	PF00412.25	LIM	Domain	1	53	58.0	55.8	4.3e-15	1	CL0167
PGK2	10	406	9	406	PF00162.22	PGK	Domain	2	382	382.0	494.8	1.6999999999999998e-148	1	No_clan
PDLIM5	10	82	4	82	PF00595.27	PDZ	Domain	8	82	82.0	54.0	1.7e-14	1	CL0466
PDLIM5	214	304	212	305	PF15936.8	DUF4749	Family	16	97	98.0	34.1	4.9e-08	1	No_clan
PDLIM5	420	473	420	475	PF00412.25	LIM	Domain	1	56	58.0	43.5	3e-11	1	CL0167
PDLIM5	479	533	479	534	PF00412.25	LIM	Domain	1	57	58.0	55.0	7.9e-15	1	CL0167
PDLIM5	538	590	538	594	PF00412.25	LIM	Domain	1	53	58.0	44.5	1.5e-11	1	CL0167
PDLIM7	8	80	3	82	PF00595.27	PDZ	Domain	6	80	82.0	49.0	6.5e-13	1	CL0466
PDLIM7	282	333	282	337	PF00412.25	LIM	Domain	1	54	58.0	49.3	4.7e-13	1	CL0167
PDLIM7	341	396	341	396	PF00412.25	LIM	Domain	1	58	58.0	53.2	2.8e-14	1	CL0167
PDLIM7	400	454	400	457	PF00412.25	LIM	Domain	1	55	58.0	47.1	2.3e-12	1	CL0167
NANOGP8	97	152	96	152	PF00046.32	Homeodomain	Domain	2	57	57.0	66.8	1.2e-18	1	CL0123
NAA35	46	137	45	145	PF04112.16	Mak10	Family	2	85	169.0	91.5	4.3e-26	1	No_clan
NAA35	146	188	137	194	PF04112.16	Mak10	Family	120	162	169.0	28.9	7.7e-07	1	No_clan
PER2	346	430	344	432	PF08447.15	PAS_3	Domain	4	87	89.0	44.1	2e-11	1	CL0183
PER2	1046	1208	1046	1208	PF12114.11	Period_C	Family	1	171	171.0	254.1	6.9e-76	1	No_clan
POGLUT1	50	388	49	391	PF05686.15	Glyco_transf_90	Family	2	341	396.0	406.8	9.9e-122	1	CL0113
PDP1	203	441	193	487	PF00481.24	PP2C	Family	47	236	258.0	123.6	1.1e-35	1	CL0238
PDP2	228	444	196	483	PF00481.24	PP2C	Family	73	244	258.0	125.7	2.7e-36	1	CL0238
PGM1	15	157	14	158	PF02878.19	PGM_PMM_I	Domain	2	137	138.0	134.4	2.3999999999999998e-39	1	No_clan
PGM1	194	299	193	301	PF02879.19	PGM_PMM_II	Domain	2	101	103.0	62.3	6e-17	1	No_clan
PGM1	306	420	306	420	PF02880.19	PGM_PMM_III	Domain	1	114	114.0	108.3	2.4999999999999998e-31	1	No_clan
PPDPFL	1	62	1	81	PF15060.9	PPDFL	Family	1	62	110.0	37.3	2.8e-09	1	No_clan
PGM2L1	65	208	64	212	PF02878.19	PGM_PMM_I	Domain	2	133	138.0	117.5	3.7000000000000003e-34	1	No_clan
PGM2L1	238	345	237	347	PF02879.19	PGM_PMM_II	Domain	2	101	103.0	82.9	2.4e-23	1	No_clan
PGM2L1	354	482	353	482	PF02880.19	PGM_PMM_III	Domain	2	114	114.0	49.1	6.1e-13	1	No_clan
PGM2L1	550	589	529	603	PF00408.23	PGM_PMM_IV	Repeat	24	62	74.0	28.1	1.9e-06	1	No_clan
PGM2	55	200	54	203	PF02878.19	PGM_PMM_I	Domain	2	135	138.0	120.3	5e-35	1	No_clan
PGM2	228	333	227	336	PF02879.19	PGM_PMM_II	Domain	2	101	103.0	84.8	6e-24	1	No_clan
PGM2	344	471	343	472	PF02880.19	PGM_PMM_III	Domain	2	113	114.0	46.6	3.7e-12	1	No_clan
PGM2	540	573	515	593	PF00408.23	PGM_PMM_IV	Repeat	24	57	74.0	24.4	2.8e-05	1	No_clan
PDPK1	83	330	82	342	PF00069.28	Pkinase	Domain	2	258	264.0	226.6	3.8e-67	1	CL0016
PDPK1	446	547	446	548	PF14593.9	PH_3	Domain	1	103	104.0	147.2	1.4999999999999998e-43	1	CL0266
PER3	285	372	284	374	PF08447.15	PAS_3	Domain	2	87	89.0	50.3	2.4e-13	1	CL0183
PER3	1040	1176	1021	1176	PF12114.11	Period_C	Family	36	171	171.0	103.0	1.8e-29	1	No_clan
PDPK2P	56	303	55	315	PF00069.28	Pkinase	Domain	2	258	264.0	226.5	4.1000000000000004e-67	1	CL0016
PGM5	23	162	19	163	PF02878.19	PGM_PMM_I	Domain	5	137	138.0	99.3	1.6000000000000001e-28	1	No_clan
PGM5	200	306	198	306	PF02879.19	PGM_PMM_II	Domain	3	103	103.0	48.4	1.3e-12	1	No_clan
PGM5	312	425	311	425	PF02880.19	PGM_PMM_III	Domain	2	114	114.0	100.0	9.4e-29	1	No_clan
PDPN	28	161	28	161	PF05808.14	Podoplanin	Family	1	135	135.0	198.1	6.900000000000001e-59	1	No_clan
PDPR	45	402	44	402	PF01266.27	DAO	Domain	2	353	353.0	196.9	7.7e-58	1	CL0063
PDPR	405	460	405	460	PF16350.8	FAO_M	Family	1	56	56.0	57.0	1.9e-15	1	No_clan
PDPR	462	736	462	739	PF01571.24	GCV_T	Domain	1	251	255.0	245.3	6.5e-73	1	CL0289
PDPR	765	853	765	858	PF08669.14	GCV_T_C	Domain	1	73	80.0	45.3	6.6e-12	1	No_clan
PAH	36	97	35	100	PF01842.28	ACT	Domain	2	63	66.0	37.8	1.3e-09	1	CL0070
PAH	119	449	119	449	PF00351.24	Biopterin_H	Domain	1	331	331.0	582.6	2.2e-175	1	No_clan
PHEX	76	479	76	479	PF05649.16	Peptidase_M13_N	Family	1	384	384.0	366.8	2.2e-109	1	No_clan
PHEX	538	741	538	748	PF01431.24	Peptidase_M13	Family	1	199	205.0	227.3	1.5e-67	1	CL0126
PHF10	436	480	435	481	PF00628.32	PHD	Domain	2	51	52.0	34.2	1.9e-08	1	CL0390
PDRG1	29	106	13	110	PF01920.23	Prefoldin_2	Coiled-coil	20	96	106.0	30.1	3.9e-07	1	CL0200
PDXK	94	275	71	284	PF08543.15	Phos_pyr_kin	Family	74	241	247.0	59.1	4.5e-16	1	CL0118
PHF11	68	159	68	160	PF13771.9	zf-HC5HC2H	Domain	1	89	90.0	68.8	3.9e-19	1	CL0390
PHF12	59	104	58	105	PF00628.32	PHD	Domain	2	51	52.0	37.3	2e-09	1	CL0390
