pfamID	Uniprot_ID	seq id	alignment start	alignment end	Pfam_description.
A0A087WT01	TVA27_HUMAN	TRAV27	24	109	Immunoglobulin V-set domain
A0A087WT02	TVA92_HUMAN	TRAV9-2	25	112	Immunoglobulin V-set domain
A0A087WT03	TVAZ1_HUMAN	TRAV26-1	22	109	Immunoglobulin V-set domain
A0A087WV62	TVB16_HUMAN	TRBV16	25	115	Immunoglobulin V-set domain
A0A087WW87	KV240_HUMAN	IGKV2-40	26	120	Immunoglobulin V-set domain
A0A087X0K7	TVB17_HUMAN	TRBV17	25	113	Immunoglobulin V-set domain
A0A087X0M5	TVB18_HUMAN	TRBV18	25	115	Immunoglobulin V-set domain
A0A0A0MRZ7	KVD26_HUMAN	IGKV2D-26	26	120	Immunoglobulin V-set domain
A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	26	114	Immunoglobulin V-set domain
A0A0A0MRZ9	LV552_HUMAN	IGLV5-52	24	124	Immunoglobulin V-set domain
A0A0A0MS00	LV332_HUMAN	IGLV3-32	23	114	Immunoglobulin V-set domain
A0A0A0MS01	TVG10_HUMAN	TRGV10	23	119	Immunoglobulin V-set domain
A0A0A0MS02	TRGV1_HUMAN	TRGV1	25	117	Immunoglobulin V-set domain
A0A0A0MS03	TVB53_HUMAN	TRBV5-3	25	113	Immunoglobulin V-set domain
A0A0A0MS04	TVB67_HUMAN	TRBV6-7	25	114	Immunoglobulin V-set domain
A0A0A0MS05	TVB57_HUMAN	TRBV5-7	25	113	Immunoglobulin V-set domain
A0A0A0MS06	TVB23_HUMAN	TRBV23-1	25	115	Immunoglobulin V-set domain
A0A0A0MS14	HV145_HUMAN	IGHV1-45	25	117	Immunoglobulin V-set domain
A0A0A0MS15	HV349_HUMAN	IGHV3-49	26	119	Immunoglobulin V-set domain
A0A0A0MT36	KVD21_HUMAN	IGKV6D-21	25	113	Immunoglobulin V-set domain
A0A0A6YYC5	TVA14_HUMAN	TRAV14DV4	26	116	Immunoglobulin V-set domain
A0A0A6YYD4	TVB13_HUMAN	TRBV13	35	123	Immunoglobulin V-set domain
A0A0A6YYG2	TVB66_HUMAN	TRBV6-6	25	114	Immunoglobulin V-set domain
A0A0A6YYG3	TVB68_HUMAN	TRBV6-8	25	113	Immunoglobulin V-set domain
A0A0A6YYJ7	TVA83_HUMAN	TRAV8-3	24	113	Immunoglobulin V-set domain
A0A0A6YYK1	TVA81_HUMAN	TRAV8-1	25	113	Immunoglobulin V-set domain
A0A0A6YYK4	TVB71_HUMAN	TRBV7-1	27	115	Immunoglobulin V-set domain
A0A0A6YYK6	TVA16_HUMAN	TRAV16	24	109	Immunoglobulin V-set domain
A0A0A6YYK7	TVA19_HUMAN	TRAV19	26	116	Immunoglobulin V-set domain
A0A0B4J1U3	LV136_HUMAN	IGLV1-36	24	116	Immunoglobulin V-set domain
A0A0B4J1U4	TRGV5_HUMAN	TRGV5	25	118	Immunoglobulin V-set domain
A0A0B4J1U6	TVB9_HUMAN	TRBV9	25	114	Immunoglobulin V-set domain
A0A0B4J1U7	HV601_HUMAN	IGHV6-1	25	121	Immunoglobulin V-set domain
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	26	119	Immunoglobulin V-set domain
A0A0B4J1V1	HV321_HUMAN	IGHV3-21	26	117	Immunoglobulin V-set domain
A0A0B4J1V2	HV226_HUMAN	IGHV2-26	24	119	Immunoglobulin V-set domain
A0A0B4J1V6	HV373_HUMAN	IGHV3-73	26	119	Immunoglobulin V-set domain
A0A0B4J1V7	HV781_HUMAN	IGHV7-81	24	117	Immunoglobulin V-set domain
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	26	117	Immunoglobulin V-set domain
A0A0B4J1X8	HV343_HUMAN	IGHV3-43	24	118	Immunoglobulin V-set domain
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	24	122	Immunoglobulin V-set domain
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	26	119	Immunoglobulin V-set domain
A0A0B4J1Z2	KVD43_HUMAN	IGKV1D-43	28	117	Immunoglobulin V-set domain
A0A0B4J234	TVA2_HUMAN	TRAV2	30	112	Immunoglobulin V-set domain
A0A0B4J235	TVAM2_HUMAN	TRAV13-2	27	113	Immunoglobulin V-set domain
A0A0B4J237	TVA82_HUMAN	TRAV8-2	25	113	Immunoglobulin V-set domain
A0A0B4J238	TVA12_HUMAN	TRAV1-2	22	106	Immunoglobulin V-set domain
A0A0B4J240	TVA10_HUMAN	TRAV10	27	114	Immunoglobulin V-set domain
A0A0B4J241	TVAM1_HUMAN	TRAV13-1	25	112	Immunoglobulin V-set domain
A0A0B4J244	TVA3_HUMAN	TRAV3	25	114	Immunoglobulin V-set domain
A0A0B4J245	TVAL1_HUMAN	TRAV12-1	27	112	Immunoglobulin V-set domain
A0A0B4J248	TVA11_HUMAN	TRAV1-1	22	108	Immunoglobulin V-set domain
A0A0B4J249	TVA5_HUMAN	TRAV5	25	112	Immunoglobulin V-set domain
A0A0B4J262	TVA86_HUMAN	TRAV8-6	25	113	Immunoglobulin V-set domain
A0A0B4J263	TVA39_HUMAN	TRAV39	24	110	Immunoglobulin V-set domain
A0A0B4J264	TV381_HUMAN	TRAV38-1	26	116	Immunoglobulin V-set domain
A0A0B4J265	TVAZ2_HUMAN	TRAV26-2	22	109	Immunoglobulin V-set domain
A0A0B4J266	TVA41_HUMAN	TRAV41	28	112	Immunoglobulin V-set domain
A0A0B4J268	TVA4_HUMAN	TRAV4	22	109	Immunoglobulin V-set domain
A0A0B4J271	TVAL3_HUMAN	TRAV12-3	28	114	Immunoglobulin V-set domain
A0A0B4J272	TVA24_HUMAN	TRAV24	28	114	Immunoglobulin V-set domain
A0A0B4J273	TVA34_HUMAN	TRAV34	26	112	Immunoglobulin V-set domain
A0A0B4J274	TVA20_HUMAN	TRAV20	27	112	Immunoglobulin V-set domain
A0A0B4J275	TVA17_HUMAN	TRAV17	26	112	Immunoglobulin V-set domain
A0A0B4J276	TVA25_HUMAN	TRAV25	24	109	Immunoglobulin V-set domain
A0A0B4J277	TVA22_HUMAN	TRAV22	26	110	Immunoglobulin V-set domain
A0A0B4J279	TVA21_HUMAN	TRAV21	25	112	Immunoglobulin V-set domain
A0A0B4J280	TVA40_HUMAN	TRAV40	23	105	Immunoglobulin V-set domain
A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	28	117	Immunoglobulin V-set domain
A0A0B4J2E0	TVBL4_HUMAN	TRBV12-4	25	114	Immunoglobulin V-set domain
A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	25	117	Immunoglobulin V-set domain
A0A0C4DH24	KV621_HUMAN	IGKV6-21	25	113	Immunoglobulin V-set domain
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	26	116	Immunoglobulin V-set domain
A0A0C4DH26	KVD41_HUMAN	IGKV6D-41	26	115	Immunoglobulin V-set domain
A0A0C4DH27	TRGV8_HUMAN	TRGV8	25	118	Immunoglobulin V-set domain
A0A0C4DH28	TRGV4_HUMAN	TRGV4	25	118	Immunoglobulin V-set domain
A0A0C4DH29	HV103_HUMAN	IGHV1-3	25	117	Immunoglobulin V-set domain
A0A0C4DH30	HV316_HUMAN	IGHV3-16	26	117	Immunoglobulin V-set domain
A0A0C4DH31	HV118_HUMAN	IGHV1-18	25	117	Immunoglobulin V-set domain
A0A0C4DH32	HV320_HUMAN	IGHV3-20	29	117	Immunoglobulin V-set domain
A0A0C4DH33	HV124_HUMAN	IGHV1-24	25	117	Immunoglobulin V-set domain
A0A0C4DH34	HV428_HUMAN	IGHV4-28	24	117	Immunoglobulin V-set domain
A0A0C4DH35	HV335_HUMAN	IGHV3-35	26	117	Immunoglobulin V-set domain
A0A0C4DH36	HV338_HUMAN	IGHV3-38	28	116	Immunoglobulin V-set domain
A0A0C4DH38	HV551_HUMAN	IGHV5-51	25	117	Immunoglobulin V-set domain
A0A0C4DH39	HV158_HUMAN	IGHV1-58	25	117	Immunoglobulin V-set domain
A0A0C4DH41	HV461_HUMAN	IGHV4-61	24	118	Immunoglobulin V-set domain
A0A0C4DH42	HV366_HUMAN	IGHV3-66	30	116	Immunoglobulin V-set domain
A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	24	119	Immunoglobulin V-set domain
A0A0C4DH55	KVD07_HUMAN	IGKV3D-7	29	118	Immunoglobulin V-set domain
A0A0C4DH59	TVB54_HUMAN	TRBV5-4	25	113	Immunoglobulin V-set domain
A0A0C4DH67	KV108_HUMAN	IGKV1-8	26	115	Immunoglobulin V-set domain
A0A0C4DH68	KV224_HUMAN	IGKV2-24	26	119	Immunoglobulin V-set domain
A0A0C4DH69	KV109_HUMAN	IGKV1-9	28	117	Immunoglobulin V-set domain
A0A0C4DH72	KV106_HUMAN	IGKV1-6	28	117	Immunoglobulin V-set domain
A0A0C4DH73	KV112_HUMAN	IGKV1-12	28	116	Immunoglobulin V-set domain
A0A0G2JMI3	HV692_HUMAN	IGHV1-69-2	25	117	Immunoglobulin V-set domain
A0A0G2JS06	LV539_HUMAN	IGLV5-39	24	123	Immunoglobulin V-set domain
A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1	24	117	Immunoglobulin V-set domain
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	26	117	Immunoglobulin V-set domain
A0A0J9YX75	TVB69_HUMAN	TRBV6-9	25	114	Immunoglobulin V-set domain
A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	25	117	Immunoglobulin V-set domain
A0A0J9YXY3	TVB62_HUMAN	TRBV6-2	25	114	Immunoglobulin V-set domain
A0A0K0K1A3	TVBJ1_HUMAN	TRBV10-1	25	114	Immunoglobulin V-set domain
A0A0K0K1A5	TVB65_HUMAN	TRBV6-5	25	114	Immunoglobulin V-set domain
A0A0K0K1B3	TVB30_HUMAN	TRBV30	23	111	Immunoglobulin V-set domain
A0A0K0K1C0	TVBK1_HUMAN	TRBV11-1	25	114	Immunoglobulin V-set domain
A0A0K0K1C4	TVB27_HUMAN	TRBV27	25	113	Immunoglobulin V-set domain
A0A0K0K1D8	TVB61_HUMAN	TRBV6-1	25	114	Immunoglobulin V-set domain
A0A0K0K1E9	TVB77_HUMAN	TRBV7-7	25	114	Immunoglobulin V-set domain
A0A0K0K1G6	TVBJ3_HUMAN	TRBV10-3	25	114	Immunoglobulin V-set domain
A0A0K0K1G8	TVBJ2_HUMAN	TRBV10-2	25	114	Immunoglobulin V-set domain
A0A0K2S4Q6	CD3CH_HUMAN	CD300H	26	125	Immunoglobulin V-set domain
A0A1B0GX31	TVB76_HUMAN	TRBV7-6	25	114	Immunoglobulin V-set domain
A0A1B0GX49	TVB64_HUMAN	TRBV6-4	25	114	Immunoglobulin V-set domain
A0A1B0GX51	TVB78_HUMAN	TRBV7-8	25	114	Immunoglobulin V-set domain
A0A1B0GX56	TRDV1_HUMAN	TRDV1	26	115	Immunoglobulin V-set domain
A0A1B0GX68	TVB2_HUMAN	TRBV2	25	115	Immunoglobulin V-set domain
A0A1B0GX78	TVBL5_HUMAN	TRBV12-5	25	114	Immunoglobulin V-set domain
A0A1B0GX95	TVB74_HUMAN	TRBV7-4	25	114	Immunoglobulin V-set domain
A0A1B0GXF2	TVB72_HUMAN	TRBV7-2	25	114	Immunoglobulin V-set domain
A0A539	TVB42_HUMAN	TRBV4-2	25	114	Immunoglobulin V-set domain
A0A576	TVB31_HUMAN	TRBV3-1	25	114	Immunoglobulin V-set domain
A0A577	TVB41_HUMAN	TRBV4-1	25	114	Immunoglobulin V-set domain
A0A578	TVB51_HUMAN	TRBV5-1	25	113	Immunoglobulin V-set domain
A0A584	TVBK2_HUMAN	TRBV11-2	25	114	Immunoglobulin V-set domain
A0A589	TVB43_HUMAN	TRBV4-3	25	114	Immunoglobulin V-set domain
A0A597	TVB55_HUMAN	TRBV5-5	25	113	Immunoglobulin V-set domain
A0A599	TVB56_HUMAN	TRBV5-6	25	113	Immunoglobulin V-set domain
A0A5A2	TVB58_HUMAN	TRBV5-8	25	113	Immunoglobulin V-set domain
A0A5A6	TVBK3_HUMAN	TRBV11-3	25	114	Immunoglobulin V-set domain
A0A5B0	TVB14_HUMAN	TRBV14	25	115	Immunoglobulin V-set domain
A0A5B6	TVB28_HUMAN	TRBV28	25	113	Immunoglobulin V-set domain
A0A5B7	TVB29_HUMAN	TRBV29-1	21	111	Immunoglobulin V-set domain
A0JD32	TV382_HUMAN	TRAV38-2DV8	26	116	Immunoglobulin V-set domain
A0JD36	TRDV2_HUMAN	TRDV2	25	115	Immunoglobulin V-set domain
A0JD37	TRDV3_HUMAN	TRDV3	23	113	Immunoglobulin V-set domain
A2NJV5	KV229_HUMAN	IGKV2-29	26	118	Immunoglobulin V-set domain
A6NFU0	F187A_HUMAN	FAM187A	45	139	Immunoglobulin V-set domain
A6NJW9	CD8B2_HUMAN	CD8B2	24	135	Immunoglobulin V-set domain
A6NLU5	VTM2B_HUMAN	VSTM2B	32	149	Immunoglobulin V-set domain
A6NMB1	SIG16_HUMAN	SIGLEC16	25	141	Immunoglobulin V-set domain
A8K4G0	CLM7_HUMAN	CD300LB	19	122	Immunoglobulin V-set domain
A8MVZ5	BTNLA_HUMAN	BTNL10	37	146	Immunoglobulin V-set domain
O00241	SIRB1_HUMAN	SIRPB1	37	144	Immunoglobulin V-set domain
O00478	BT3A3_HUMAN	BTN3A3	35	144	Immunoglobulin V-set domain
O00481	BT3A1_HUMAN	BTN3A1	35	144	Immunoglobulin V-set domain
O14594	NCAN_HUMAN	NCAN	43	158	Immunoglobulin V-set domain
O14931	NCTR3_HUMAN	NCR3	22	128	Immunoglobulin V-set domain
O15389	SIGL5_HUMAN	SIGLEC5	24	140	Immunoglobulin V-set domain
O43699	SIGL6_HUMAN	SIGLEC6	34	142	Immunoglobulin V-set domain
O60487	MPZL2_HUMAN	MPZL2	30	143	Immunoglobulin V-set domain
O60667	FAIM3_HUMAN	FCMR	20	123	Immunoglobulin V-set domain
O60939	SCN2B_HUMAN	SCN2B	33	147	Immunoglobulin V-set domain
O75054	IGSF3_HUMAN	IGSF3	25	142	Immunoglobulin V-set domain
O75054	IGSF3_HUMAN	IGSF3	684	809	Immunoglobulin V-set domain
O75054	IGSF3_HUMAN	IGSF3	821	946	Immunoglobulin V-set domain
O75054	IGSF3_HUMAN	IGSF3	150	265	Immunoglobulin V-set domain
O75144	ICOSL_HUMAN	ICOSLG	20	133	Immunoglobulin V-set domain
O75871	CEAM4_HUMAN	CEACAM4	38	141	Immunoglobulin V-set domain
O95297	MPZL1_HUMAN	MPZL1	41	155	Immunoglobulin V-set domain
O95727	CRTAM_HUMAN	CRTAM	21	115	Immunoglobulin V-set domain
O95944	NCTR2_HUMAN	NCR2	23	129	Immunoglobulin V-set domain
O95976	IGSF6_HUMAN	IGSF6	34	142	Immunoglobulin V-set domain
P01593	KVD33_HUMAN	IGKV1D-33	28	116	Immunoglobulin V-set domain
P01594	KV133_HUMAN	IGKV1-33	28	116	Immunoglobulin V-set domain
P01597	KV139_HUMAN	IGKV1-39	28	117	Immunoglobulin V-set domain
P01599	KV117_HUMAN	IGKV1-17	28	117	Immunoglobulin V-set domain
P01601	KVD16_HUMAN	IGKV1D-16	28	117	Immunoglobulin V-set domain
P01602	KV105_HUMAN	IGKV1-5	28	117	Immunoglobulin V-set domain
P01611	KVD12_HUMAN	IGKV1D-12	28	116	Immunoglobulin V-set domain
P01614	KVD40_HUMAN	IGKV2D-40	26	120	Immunoglobulin V-set domain
P01615	KVD28_HUMAN	IGKV2D-28	26	119	Immunoglobulin V-set domain
P01619	KV320_HUMAN	IGKV3-20	26	116	Immunoglobulin V-set domain
P01624	KV315_HUMAN	IGKV3-15	26	114	Immunoglobulin V-set domain
P01699	LV144_HUMAN	IGLV1-44	24	116	Immunoglobulin V-set domain
P01700	LV147_HUMAN	IGLV1-47	24	116	Immunoglobulin V-set domain
P01701	LV151_HUMAN	IGLV1-51	24	116	Immunoglobulin V-set domain
P01703	LV140_HUMAN	IGLV1-40	24	117	Immunoglobulin V-set domain
P01704	LV214_HUMAN	IGLV2-14	24	120	Immunoglobulin V-set domain
P01705	LV223_HUMAN	IGLV2-23	24	113	Immunoglobulin V-set domain
P01706	LV211_HUMAN	IGLV2-11	24	119	Immunoglobulin V-set domain
P01709	LV208_HUMAN	IGLV2-8	24	118	Immunoglobulin V-set domain
P01714	LV319_HUMAN	IGLV3-19	24	112	Immunoglobulin V-set domain
P01715	LV301_HUMAN	IGLV3-1	24	115	Immunoglobulin V-set domain
P01717	LV325_HUMAN	IGLV3-25	24	112	Immunoglobulin V-set domain
P01718	LV327_HUMAN	IGLV3-27	24	113	Immunoglobulin V-set domain
P01721	LV657_HUMAN	IGLV6-57	24	117	Immunoglobulin V-set domain
P01732	CD8A_HUMAN	CD8A	26	133	Immunoglobulin V-set domain
P01733	TVBL3_HUMAN	TRBV12-3	25	114	Immunoglobulin V-set domain
P01737	TVA84_HUMAN	TRAV8-4	25	113	Immunoglobulin V-set domain
P01742	HV169_HUMAN	IGHV1-69	25	117	Immunoglobulin V-set domain
P01743	HV146_HUMAN	IGHV1-46	25	117	Immunoglobulin V-set domain
P01762	HV311_HUMAN	IGHV3-11	26	117	Immunoglobulin V-set domain
P01763	HV348_HUMAN	IGHV3-48	26	117	Immunoglobulin V-set domain
P01764	HV323_HUMAN	IGHV3-23	26	117	Immunoglobulin V-set domain
P01766	HV313_HUMAN	IGHV3-13	26	116	Immunoglobulin V-set domain
P01767	HV353_HUMAN	IGHV3-53	30	116	Immunoglobulin V-set domain
P01768	HV330_HUMAN	IGHV3-30	27	117	Immunoglobulin V-set domain
P01772	HV333_HUMAN	IGHV3-33	27	117	Immunoglobulin V-set domain
P01780	HV307_HUMAN	IGHV3-7	26	117	Immunoglobulin V-set domain
P01782	HV309_HUMAN	IGHV3-9	26	118	Immunoglobulin V-set domain
P01814	HV270_HUMAN	IGHV2-70	24	119	Immunoglobulin V-set domain
P01817	HV205_HUMAN	IGHV2-5	24	119	Immunoglobulin V-set domain
P01824	HV439_HUMAN	IGHV4-39	31	125	Immunoglobulin V-set domain
P01825	HV459_HUMAN	IGHV4-59	24	116	Immunoglobulin V-set domain
P01833	PIGR_HUMAN	PIGR	465	562	Immunoglobulin V-set domain
P01833	PIGR_HUMAN	PIGR	354	457	Immunoglobulin V-set domain
P01833	PIGR_HUMAN	PIGR	241	341	Immunoglobulin V-set domain
P01833	PIGR_HUMAN	PIGR	136	238	Immunoglobulin V-set domain
P01833	PIGR_HUMAN	PIGR	23	128	Immunoglobulin V-set domain
P03979	TRGV3_HUMAN	TRGV3	25	118	Immunoglobulin V-set domain
P04211	LV743_HUMAN	IGLV7-43	24	117	Immunoglobulin V-set domain
P04430	KV116_HUMAN	IGKV1-16	28	117	Immunoglobulin V-set domain
P04432	KVD39_HUMAN	IGKV1D-39	28	117	Immunoglobulin V-set domain
P04433	KV311_HUMAN	IGKV3-11	26	114	Immunoglobulin V-set domain
P04435	TVB79_HUMAN	TRBV7-9	25	114	Immunoglobulin V-set domain
P04437	TVA29_HUMAN	TRAV29DV5	32	119	Immunoglobulin V-set domain
P06310	KV230_HUMAN	IGKV2-30	26	118	Immunoglobulin V-set domain
P06312	KV401_HUMAN	IGKV4-1	26	121	Immunoglobulin V-set domain
P06315	KV502_HUMAN	IGKV5-2	26	114	Immunoglobulin V-set domain
P06331	HV434_HUMAN	IGHV4-34	37	123	Immunoglobulin V-set domain
P06729	CD2_HUMAN	CD2	28	127	Immunoglobulin V-set domain
P06731	CEAM5_HUMAN	CEACAM5	38	141	Immunoglobulin V-set domain
P09326	CD48_HUMAN	CD48	30	128	Immunoglobulin V-set domain
P09564	CD7_HUMAN	CD7	31	132	Immunoglobulin V-set domain
P0DP01	HV108_HUMAN	IGHV1-8	25	117	Immunoglobulin V-set domain
P0DP02	HVC33_HUMAN	IGHV3-30-3	27	117	Immunoglobulin V-set domain
P0DP03	HVC05_HUMAN	IGHV3-30-5	27	117	Immunoglobulin V-set domain
P0DP04	HV43D_HUMAN	IGHV3-43D	24	118	Immunoglobulin V-set domain
P0DP06	HVD34_HUMAN	IGHV4-30-4	24	118	Immunoglobulin V-set domain
P0DP07	HV431_HUMAN	IGHV4-31	24	118	Immunoglobulin V-set domain
P0DP08	HVD82_HUMAN	IGHV4-38-2	24	117	Immunoglobulin V-set domain
P0DP09	KV113_HUMAN	IGKV1-13	28	117	Immunoglobulin V-set domain
P0DPA2	VSIG8_HUMAN	VSIG8	27	143	Immunoglobulin V-set domain
P0DPF4	TVA35_HUMAN	TRAV35	24	110	Immunoglobulin V-set domain
P0DPF7	TVB63_HUMAN	TRBV6-3	25	114	Immunoglobulin V-set domain
P0DSN7	KVD37_HUMAN	IGKV1D-37	28	115	Immunoglobulin V-set domain
P0DTE1	HV383_HUMAN	IGHV3-38-3	24	115	Immunoglobulin V-set domain
P0DTU3	TRAR2_HUMAN	TRA	26	133	Immunoglobulin V-set domain
P0DTU4	TRBR2_HUMAN	TRB	25	136	Immunoglobulin V-set domain
P0DTW3	HV384_HUMAN	IGHV1-38-4	26	116	Immunoglobulin V-set domain
P10915	HPLN1_HUMAN	HAPLN1	44	152	Immunoglobulin V-set domain
P10966	CD8B_HUMAN	CD8B	24	135	Immunoglobulin V-set domain
P11464	PSG1_HUMAN	PSG1	38	144	Immunoglobulin V-set domain
P11465	PSG2_HUMAN	PSG2	38	139	Immunoglobulin V-set domain
P12018	VPREB_HUMAN	VPREB1	24	132	Immunoglobulin V-set domain
P13611	CSPG2_HUMAN	VCAN	27	148	Immunoglobulin V-set domain
P13688	CEAM1_HUMAN	CEACAM1	38	141	Immunoglobulin V-set domain
P15151	PVR_HUMAN	PVR	32	142	Immunoglobulin V-set domain
P16112	PGCA_HUMAN	ACAN	34	151	Immunoglobulin V-set domain
P16410	CTLA4_HUMAN	CTLA4	41	152	Immunoglobulin V-set domain
P20138	CD33_HUMAN	CD33	24	139	Immunoglobulin V-set domain
